"Date","Price","Open","High","Low","Change %"
"May 07, 2021","14,285.0","14,272.5","14,312.5","14,247.0","-0.21%"
"May 06, 2021","14,315.0","14,415.0","14,425.0","14,313.0","-0.80%"
"May 05, 2021","14,430.0","14,440.0","14,450.0","14,426.0","0.03%"
"May 04, 2021","14,425.0","14,460.0","14,465.0","14,412.5","-0.14%"
"May 03, 2021","14,445.0","14,450.0","14,480.0","14,447.5","0.03%"
"Apr 30, 2021","14,440.0","14,430.0","14,507.5","14,424.5","-0.03%"
"Apr 29, 2021","14,445.0","14,430.0","14,475.0","14,425.0","-0.34%"
"Apr 28, 2021","14,495.0","14,490.0","14,525.0","14,487.5","0.10%"
"Apr 27, 2021","14,480.0","14,490.0","14,508.5","14,477.0","0.00%"
"Apr 26, 2021","14,480.0","14,515.0","14,515.0","14,475.0","-0.28%"
"Apr 23, 2021","14,520.0","14,525.0","14,560.0","14,520.0","0.03%"
"Apr 22, 2021","14,515.0","14,515.0","14,539.0","14,510.0","-0.07%"
"Apr 21, 2021","14,525.0","14,525.0","14,551.0","14,510.0","0.21%"
"Apr 20, 2021","14,495.0","14,515.0","14,535.0","14,482.5","-0.34%"
"Apr 19, 2021","14,545.0","14,537.5","14,570.0","14,525.0","-0.10%"
"Apr 16, 2021","14,560.0","14,620.0","14,630.0","14,550.0","-0.27%"
"Apr 15, 2021","14,600.0","14,610.0","14,634.0","14,600.0","0.00%"
"Apr 14, 2021","14,600.0","14,622.5","14,622.5","14,592.5","0.00%"
"Apr 13, 2021","14,600.0","14,610.0","14,627.5","14,595.0","0.07%"
"Apr 12, 2021","14,590.0","14,575.0","14,630.0","14,575.0","0.21%"
"Apr 09, 2021","14,560.0","14,550.0","14,587.5","14,540.0","0.21%"
"Apr 08, 2021","14,530.0","14,510.0","14,578.5","14,510.0","0.28%"
"Apr 07, 2021","14,490.0","14,470.0","14,517.5","14,470.0","-0.07%"
"Apr 06, 2021","14,500.0","14,490.0","14,525.0","14,490.0","-0.07%"
"Apr 05, 2021","14,510.0","14,520.0","14,535.0","14,510.0","-0.07%"
"Apr 01, 2021","14,520.0","14,530.0","14,594.5","14,525.0","0.00%"
"Mar 31, 2021","14,520.0","14,480.0","14,582.0","14,480.0","0.35%"
"Mar 30, 2021","14,470.0","14,450.0","14,502.5","14,450.0","0.21%"
"Mar 29, 2021","14,440.0","14,420.0","14,455.0","14,420.0","0.21%"
"Mar 26, 2021","14,410.0","14,445.0","14,458.0","14,417.5","-0.07%"
"Mar 25, 2021","14,420.0","14,435.0","14,465.0","14,425.0","0.00%"
"Mar 24, 2021","14,420.0","14,422.5","14,460.0","14,410.0","0.21%"
"Mar 23, 2021","14,390.0","14,400.0","14,425.0","14,390.0","-0.07%"
"Mar 22, 2021","14,400.0","14,415.0","14,452.5","14,397.0","0.00%"
"Mar 19, 2021","14,400.0","14,410.0","14,475.0","14,400.0","0.07%"
"Mar 18, 2021","14,390.0","14,385.0","14,415.0","14,375.0","-0.24%"
"Mar 17, 2021","14,425.0","14,430.0","14,465.0","14,415.0","0.17%"
"Mar 16, 2021","14,400.0","14,402.5","14,422.5","14,395.0","0.03%"
"Mar 15, 2021","14,395.0","14,400.0","14,422.5","14,390.0","0.10%"
"Mar 12, 2021","14,380.0","14,355.0","14,396.0","14,325.0","-0.10%"
"Mar 10, 2021","14,395.0","14,390.0","14,425.0","14,390.0","0.03%"
"Mar 09, 2021","14,390.0","14,415.0","14,475.0","14,395.0","0.28%"
"Mar 08, 2021","14,350.0","14,350.0","14,382.5","14,335.0","0.42%"
"Mar 05, 2021","14,290.0","14,315.0","14,360.0","14,280.0","0.21%"
"Mar 04, 2021","14,260.0","14,265.0","14,305.0","14,250.0","0.14%"
"Mar 03, 2021","14,240.0","14,325.0","14,330.5","14,240.0","-0.42%"
"Mar 02, 2021","14,300.0","14,275.0","14,330.0","14,265.0","0.35%"
"Mar 01, 2021","14,250.0","14,250.0","14,307.5","14,240.0","0.07%"
"Feb 26, 2021","14,240.0","14,105.0","14,275.0","14,105.0","1.14%"
"Feb 25, 2021","14,080.0","14,085.0","14,110.0","14,079.5","0.00%"
"Feb 24, 2021","14,080.0","14,072.5","14,092.5","14,065.0","-0.07%"
"Feb 23, 2021","14,090.0","14,110.0","14,130.0","14,092.5","-0.14%"
"Feb 22, 2021","14,110.0","14,070.0","14,130.0","14,070.0","0.36%"
"Feb 19, 2021","14,060.0","14,050.0","14,100.5","14,050.0","0.36%"
"Feb 18, 2021","14,010.0","14,020.0","14,061.0","14,020.0","0.00%"
"Feb 17, 2021","14,010.0","13,955.0","14,046.0","13,955.0","0.65%"
"Feb 16, 2021","13,920.0","13,895.0","13,937.5","13,866.0","0.07%"
"Feb 15, 2021","13,910.0","13,972.5","13,972.5","13,896.5","-0.43%"
"Feb 11, 2021","13,970.0","13,985.0","14,002.0","13,965.0","-0.07%"
"Feb 10, 2021","13,980.0","14,000.0","14,000.0","13,972.0","-0.07%"
"Feb 09, 2021","13,990.0","14,007.5","14,011.0","13,988.5","-0.04%"
"Feb 08, 2021","13,995.0","14,020.0","14,023.5","13,987.5","-0.18%"
"Feb 05, 2021","14,020.0","14,020.0","14,057.5","14,020.0","0.07%"
"Feb 04, 2021","14,010.0","14,007.5","14,040.0","14,002.5","0.07%"
"Feb 03, 2021","14,000.0","14,015.0","14,020.0","13,992.5","-0.14%"
"Feb 02, 2021","14,020.0","14,035.0","14,049.0","14,020.0","0.07%"
"Feb 01, 2021","14,010.0","14,035.0","14,052.5","14,015.0","-0.07%"
"Jan 29, 2021","14,020.0","14,072.5","14,085.0","14,030.0","-0.21%"
"Jan 28, 2021","14,050.0","14,065.0","14,126.5","14,055.0","0.11%"
"Jan 27, 2021","14,035.0","14,050.0","14,082.0","14,042.5","-0.04%"
"Jan 26, 2021","14,040.0","14,045.0","14,098.5","14,045.0","0.21%"
"Jan 25, 2021","14,010.0","14,055.0","14,083.0","14,020.0","-0.07%"
"Jan 22, 2021","14,020.0","13,995.0","14,063.5","13,995.0","0.29%"
"Jan 21, 2021","13,980.0","14,022.5","14,035.0","13,995.0","-0.29%"
"Jan 20, 2021","14,020.0","14,065.0","14,067.5","14,030.0","-0.21%"
"Jan 19, 2021","14,050.0","14,080.0","14,099.5","14,055.0","-0.07%"
"Jan 18, 2021","14,060.0","14,025.0","14,105.0","14,025.0","0.36%"
